iso3,year,month,source_country,source_org,dest_org,sector,amount_usd,is_cerf,is_echo,country_role
COL,2019,9,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,Food and Agriculture Organization of the United Nations,Multi-sector,1672241,False,True,pressure
COL,2019,9,United States,"United States of America, Government of",Norwegian Refugee Council,Education,1400656,False,False,pressure
COL,2019,9,United States,"United States of America, Government of",,Coordination and support services,1336248,False,False,pressure
COL,2019,9,United States,"United States of America, Government of",International Organization for Migration,Multi-sector,1323315,False,False,pressure
COL,2019,9,Multilateral,Central Emergency Response Fund,United Nations High Commissioner for Refugees,Multi-sector,1000000,True,False,pressure
COL,2019,9,Norway,"Norway, Government of",Norwegian Refugee Council,Unearmarked,429891,False,False,pressure
COL,2019,9,Spain,"Spain, Government of",Office for the Coordination of Humanitarian Affairs,Coordination and support services,222965,False,False,pressure
COL,2019,9,Multilateral,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),International Organization for Migration,Multi-sector,86733,False,False,pressure
COL,2019,10,United States,"United States of America, Government of",United Nations High Commissioner for Refugees,Multi-sector,7416977,False,False,pressure
COL,2019,10,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,United Nations High Commissioner for Refugees,Multi-sector,3200747,False,True,pressure
