Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2023,"Trinidad and Tobago",Colombia,TTO,COL,7,73,0,0,0,0,0
2023,Uruguay,Colombia,URY,COL,174,232,0,0,0,0,0
2023,"United States of America",Colombia,USA,COL,4272,178750,0,0,0,0,0
2023,"Venezuela (Bolivarian Republic of)",Colombia,VEN,COL,29176,1572,0,0,0,0,0
2022,Argentina,Colombia,ARG,COL,562,294,0,0,0,0,0
2022,Australia,Colombia,AUS,COL,85,358,0,0,0,0,0
2022,Austria,Colombia,AUT,COL,5,28,0,0,0,0,0
2022,Belgium,Colombia,BEL,COL,160,570,0,0,0,0,0
2022,"Bolivia (Plurinational State of)",Colombia,BOL,COL,200,47,0,0,0,0,0
2022,Brazil,Colombia,BRA,COL,1318,2366,0,0,0,0,0
2022,Canada,Colombia,CAN,COL,4351,8946,0,0,0,0,0
2022,Chile,Colombia,CHL,COL,1235,2554,0,0,0,0,0
2022,Colombia,Colombia,COL,COL,0,0,6834492,0,0,1102358,516000
2022,"Costa Rica",Colombia,CRI,COL,2304,2555,0,0,0,0,0
2022,Cyprus,Colombia,CYP,COL,0,5,0,0,0,0,0
2022,Czechia,Colombia,CZE,COL,5,0,0,0,0,0,0
2022,Denmark,Colombia,DNK,COL,5,29,0,0,0,0,0
2022,"Dominican Rep.",Colombia,DOM,COL,0,12,0,0,0,0,0
2022,Ecuador,Colombia,ECU,COL,57160,3964,0,0,0,0,0
2022,Finland,Colombia,FIN,COL,6,47,0,0,0,0,0
2022,France,Colombia,FRA,COL,1427,863,0,0,0,0,0
2022,"United Kingdom of Great Britain and Northern Ireland",Colombia,GBR,COL,15,144,0,0,0,0,0
2022,Germany,Colombia,DEU,COL,132,1766,0,0,0,0,0
2022,Guatemala,Colombia,GTM,COL,10,27,0,0,0,0,0
2022,Honduras,Colombia,HND,COL,5,0,0,0,0,0,2476
2022,Iceland,Colombia,ISL,COL,0,30,0,0,0,0,0
2022,Israel,Colombia,ISR,COL,0,129,0,0,0,0,0
2022,Italy,Colombia,ITA,COL,1094,1549,0,0,0,0,0
2022,Luxembourg,Colombia,LUX,COL,0,35,0,0,0,0,0
2022,Mexico,Colombia,MEX,COL,616,3385,0,0,0,0,38426
2022,Malta,Colombia,MLT,COL,0,15,0,0,0,0,0
2022,"Netherlands (Kingdom of the)",Colombia,NLD,COL,290,469,0,0,0,0,0
2022,Nicaragua,Colombia,NIC,COL,6,0,0,0,0,0,0
2022,Norway,Colombia,NOR,COL,49,131,0,0,0,0,0
2022,"New Zealand",Colombia,NZL,COL,33,5,0,0,0,0,0
2022,Panama,Colombia,PAN,COL,1654,832,0,0,0,0,0
2022,Paraguay,Colombia,PRY,COL,18,267,0,0,0,0,0
2022,Peru,Colombia,PER,COL,734,1783,0,0,0,0,4977
2022,Poland,Colombia,POL,COL,5,0,0,0,0,0,0
2022,Portugal,Colombia,PRT,COL,21,69,0,0,0,0,0
2022,"El Salvador",Colombia,SLV,COL,16,8,0,0,0,0,0
2022,Spain,Colombia,ESP,COL,2785,40345,0,0,0,0,0
2022,Suriname,Colombia,SUR,COL,0,6,0,0,0,0,0
2022,Sweden,Colombia,SWE,COL,40,373,0,0,0,0,0
2022,Switzerland,Colombia,CHE,COL,323,153,0,0,0,0,0
2022,"Trinidad and Tobago",Colombia,TTO,COL,8,57,0,0,0,0,0
2022,Uruguay,Colombia,URY,COL,170,130,0,0,0,0,0
2022,"United States of America",Colombia,USA,COL,2984,68819,0,0,0,0,0
2022,"Venezuela (Bolivarian Republic of)",Colombia,VEN,COL,29181,1045,0,0,0,0,0
2019,Argentina,"Costa Rica",ARG,CRI,5,0,0,0,0,0,0
2019,Brazil,"Costa Rica",BRA,CRI,0,14,0,0,0,0,0
2019,Canada,"Costa Rica",CAN,CRI,13,46,0,0,0,0,0
2019,Chile,"Costa Rica",CHL,CRI,5,0,0,0,0,0,0
2019,France,"Costa Rica",FRA,CRI,5,0,0,0,0,0,0
2019,"United Kingdom of Great Britain and Northern Ireland","Costa Rica",GBR,CRI,0,6,0,0,0,0,0
2019,Italy,"Costa Rica",ITA,CRI,6,0,0,0,0,0,0
2019,Madagascar,"Costa Rica",MDG,CRI,0,5,0,0,0,0,0
2019,Mexico,"Costa Rica",MEX,CRI,0,43,0,0,0,0,0
2019,Panama,"Costa Rica",PAN,CRI,0,5,0,0,0,0,0
2019,Peru,"Costa Rica",PER,CRI,0,5,0,0,0,0,0
2019,Spain,"Costa Rica",ESP,CRI,0,65,0,0,0,0,0
2019,"United States of America","Costa Rica",USA,CRI,172,550,0,0,0,0,0
2020,Argentina,"Costa Rica",ARG,CRI,5,0,0,0,0,0,0
2020,Belgium,"Costa Rica",BEL,CRI,0,5,0,0,0,0,0
