iso3,flow_id,source_org,source_country,dest_org,dest_country,description,sector,amount_usd,funding_status,boundary,dest_usage_year,flow_date
SLV,273106,United Nations,,United Nations High Commissioner for Refugees,El Salvador,"El Salvador Plan de Respuesta Humanitario 2022
Empowering Women and Girls Affected by Migration and Forced Displacement in Honduras, Guatemala and El Salvador",Protection - Gender-Based Violence,362441,commitment,incoming,2023,2022-07-14
SLV,273618,"Sweden, Government of",Sweden,Norwegian Refugee Council,Honduras,Emergency response to hurricane and rain affected families in Honduras and El Salvador  (HNFM 2213),,35130,commitment,incoming,2022,2022-11-11
SLV,273996,"United States of America, Government of",United States,Norwegian Refugee Council,El Salvador,"Provision of multi-sectoral humanitarian assistance to populations affected by, or at risk of, violence and displacement in El Salvador, Guatemala and Honduras.",Protection,289231,commitment,incoming,2023,2022-08-19
SLV,274014,"United States of America, Government of",United States,Norwegian Refugee Council,El Salvador,"Provision of multi-sectoral humanitarian assistance to populations affected by, or at risk of, violence and displacement in El Salvador, Guatemala and Honduras.",Protection - Child Protection,128187,commitment,incoming,2023,2022-08-19
SLV,274017,"United States of America, Government of",United States,Norwegian Refugee Council,El Salvador,"Provision of multi-sectoral humanitarian assistance to populations affected by, or at risk of, violence and displacement in El Salvador, Guatemala and Honduras.",Education,115670,commitment,incoming,2023,2022-08-19
SLV,275058,European Commission's Humanitarian Aid and Civil Protection Department,,Norwegian Refugee Council,El Salvador,"Multi-sector assistance to people affected by other situations of violence (OSV) and People in Need of International Protection (PNIP) in North of Central America and Mexico.
---- Education",Protection,126646,paid,incoming,2023,2021-03-31
SLV,275064,European Commission's Humanitarian Aid and Civil Protection Department,,Norwegian Refugee Council,El Salvador,"Multi-sector assistance to people affected by other situations of violence (OSV) and People in Need of International Protection (PNIP) in North of Central America and Mexico.
---- Health",Education,62840,paid,incoming,2023,2021-03-31
SLV,275359,"United States of America, Government of",United States,Centre for the Coordination of Natural Disaster Prevention in Central America,Costa Rica,"Central America Regional/ER4 Disaster Risk Reduction Policy and Practice (DRRPP),Shelter and Settlements (USAID/BHA)",Other,650000,commitment,incoming,2023,2023-03-28
SLV,275360,"United States of America, Government of",United States,RET International,Guatemala,Central America Regional/ER4 Disaster Risk Reduction Policy and Practice (DRRPP) (USAID/BHA),Other,500000,commitment,incoming,2023,2023-03-28
SLV,275610,"United States of America, Government of",United States,Miyamoto International,El Salvador,El Salvador/ER4: Risk Management Policy and Practice	(USAID/BHA),Coordination and support services,500000,commitment,incoming,2023,2023-04-01
